1.000000, 1.967345, 2.832124; 3.829469, 4.723948, 5.752364, 6.595657, 7.335832, 8.464178, 9.325479, 10.267202, 11.095790, 12.125603, 13.023880, 14.158977, 14.997362, 15.788049, 16.912587, 17.618215, 18.695470, 19.585216, 20.496366, 21.382066, 22.259448, 23.288557, 24.075872, 25.207594, 26.141931, 27.110649, 27.962358, 28.820043, 29.956438, 30.770470, 31.767181, 32.682622, 33.542368, 34.461064, 35.548739, 36.453021, 37.209085, 38.075366, 38.953995, 40.040613, 40.980196, 41.963638, 42.873133, 43.705429, 44.639778, 45.555410, 46.641579
1.000000; 1.899076, 2.586234, 3.235519, 4.337730, 4.868131, 5.498553, 6.893759, 7.459836, 8.038268, 8.416307, 8.877465, 9.219727, 9.655265, 11.354529, 11.713857, 12.167733, 13.847161, 14.378839, 14.743944, 16.395804, 16.634327, 17.011785, 18.617347, 19.082192, 19.643977, 21.096809, 21.699768, 22.111669, 21.477535, 21.895648, 22.170397, 23.826181, 24.287029, 24.736857, 25.045318, 26.734754, 27.068904, 27.524150, 29.216134, 29.656781, 30.123405, 31.818125, 32.284912, 32.770235, 34.469023, 34.946240, 35.418577, 37.087330, 37.465563
1.000000, 1.644286, 2.018028, 2.892174, 3.226846, 4.260056, 4.598647, 5.647069, 6.001444, 7.156018, 8.267956, 2.090875, 2.205973, 2.345895, 2.439435, 3.427911, 3.483413, 3.686700, 3.782879, 3.858940, 4.062585, 4.126219, 4.222680, 4.428932; 4.565642, 4.760818, 4.936683, 5.149070, 5.257995, 5.359628, 5.516072, 5.584486, 5.691600, 5.917607, 5.981732, 6.076873, 6.155000, 6.356729, 6.443419, 6.684651, 7.067375, 7.225857, 7.483033, 7.901020, 8.773212, 8.974303, 9.178069, 9.311370, 9.399058, 9.300074
1.000000, 1.999339; 2.712677, 3.525573, 4.383463, 5.150746, 6.038629, 6.798541, 7.455295, 8.219202, 9.378760, 10.103438, 10.826096, 11.421570, 12.872203, 13.625133, 14.403464, 15.172780, 16.572840, 17.244021, 18.009597, 18.770236, 19.433717, 20.169309, 20.880079, 21.618735, 22.885339, 23.471174, 24.171987, 24.857688, 25.726007, 26.430962, 27.029069, 27.746924, 29.061599, 29.762537, 30.321372, 31.025666, 32.441346, 33.158255, 33.743408, 34.458240, 36.020601, 36.748428, 37.475593, 38.197564, 39.732514, 40.240790, 40.946987, 41.654107
1.000000, 1.942028, 2.867429, 3.715900, 4.802634, 5.695931, 6.790091, 7.638089; 8.713848, 9.745596, 10.438490, 11.495097, 12.255166, 13.228168, 14.102694, 14.795413, 15.528445, 16.587590, 17.354174, 18.443120, 19.116541, 20.085811, 20.948409, 21.983860, 22.850455, 23.945456, 24.793896, 25.706800, 26.427918, 27.352194, 28.189847, 29.460632, 30.398874, 31.301847, 32.355618, 33.217707, 34.221410, 35.012191, 35.812222, 36.720105, 37.575803, 38.391540, 39.455533, 40.259303, 41.156167, 41.959730, 43.014081, 43.805014, 44.873249, 45.594899
1.000000; 1.983350, 2.699896, 3.301526, 4.783098, 5.507606, 6.265336, 7.555373, 8.345457, 9.119777, 9.767751, 10.683201, 11.283510, 11.793791, 13.415095, 14.083834, 14.712148, 16.267565, 16.957649, 17.633648, 19.144178, 19.849695, 20.553334, 22.050392, 22.668690, 23.269204, 24.798736, 25.451591, 26.066033, 27.575767, 28.328091, 29.055401, 29.695669, 31.211224, 31.947461, 32.685664, 34.184575, 34.824722, 35.452935, 36.377496, 37.009300, 37.718549, 39.192280, 39.794918, 40.386517, 41.837158, 42.468224, 42.977291, 44.538809, 45.275500
1.000000, 1.995876, 2.994330, 3.991753, 1.482225, 1.597290, 1.715991, 1.826775, 2.001361, 2.126642, 2.269271, 2.402021, 2.552330; 2.789403, 2.960162, 3.109270, 3.261754, 3.417575, 3.602138, 3.764819, 3.938733, 4.107985, 4.402302, 4.576280, 4.772173, 4.961946, 5.501462, 5.713237, 5.925355, 6.140967, 6.360905, 6.584056, 7.022977, 7.231124, 7.465304, 7.679820, 7.920272, 8.140489, 8.363907, 8.805774, 9.058109, 9.313653, 9.549218, 9.787589, 10.416959, 10.685259, 10.958262, 11.233477, 11.485963, 11.754552
1.000000, 1.759327, 2.723844, 3.718545, 4.699334; 5.681529, 6.669634, 7.670297, 8.673414, 9.667654, 10.669229, 11.381209, 12.381881, 13.382412, 13.932816, 14.938992, 15.259377, 16.237615, 17.245206, 17.937417, 18.948559, 19.699523, 20.685702, 21.605729, 22.611947, 23.617669, 24.615658, 25.512170, 26.520292, 27.528002, 28.516887, 29.524208, 30.525077, 31.183481, 32.184146, 33.184152, 34.174075, 34.853603, 35.180438, 36.190284, 36.935076, 37.943378, 38.740639, 39.750291, 40.759399, 41.748139, 42.494948, 42.945456, 43.954728, 44.320406
1.000000; 1.933687, 2.511619, 3.780979, 4.311297, 4.612785, 6.167463, 6.678560, 8.135179, 8.725471, 10.107851, 10.626163, 11.120930, 12.548589, 13.191327, 5.090412, 5.401222, 5.663398, 6.052944, 6.383019, 6.769075, 7.116865, 7.465373, 7.876690, 8.245377, 8.691454, 9.069272, 9.453536, 9.731203, 10.119728, 10.696756, 11.105464, 11.566298, 11.991589, 12.417380, 12.899094, 13.340667, 13.858596, 14.311998, 14.765715, 15.408015, 15.877810, 16.573403, 16.997837, 17.393373, 18.015208, 18.505421, 19.216079, 19.714986, 20.137824
1.000000, 1.544470, 1.883340, 2.895957, 3.243956; 4.454433, 4.878669, 5.869381, 6.517861, 7.145442, 8.227790, 8.713901, 9.832749, 10.411290, 10.990087, 12.146979, 12.674108, 13.834075, 14.369348, 15.443743, 16.059759, 17.096494, 17.637807, 18.254546, 19.398621, 20.042009, 21.159787, 21.737416, 22.847513, 23.481544, 24.539221, 25.171257, 25.803127, 26.844403, 27.484914, 28.584284, 29.276968, 29.976014, 31.115037, 31.610180, 32.842015, 33.438579, 34.490381, 35.159952, 36.274585, 36.877653, 37.566650, 38.688470, 39.369279, 40.447353
